sexe;age;presence_enfant_conduite_accompagne;presence_enfants;tranche_de_revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis;D_aléatoire
F;13;Non;Oui;[20k€, 40k€];Private;Minivan;no;1;1.0;Highly Urban/ Urban;28/03/2022;complet;dev_premium;363,96;30825-92
F;7;Non;Non;[40k€+];Private;Sports Car;no;6;1.0;Highly Urban/ Urban;26/02/2022;complet;dev_premium;466,36;63668-93
M;64;Non;Non;[40k€+];Private;Van;yes;0;1.0;Highly Urban/ Urban;17/01/2022;complet;dev_express;268,35;70902-94
F;72;Non;Non;[40k€+];Private;Pickup;no;4;11.0;Highly Urban/ Urban;16/04/2022;complet;dev_integral;289,43;32346-95
F;53;Non;Non;[20k€, 40k€];Commercial;Pickup;yes;1;5.0;z_Highly Rural/ Rural;12/01/2022;complet;dev_integral;300,42;41530-96
M;63;Non;Non;[20k€, 40k€];Private;Minivan;no;7;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;269,18;44945-97
F;38;Oui;Oui;[40k€+];Private;Minivan;yes;0;6.0;Highly Urban/ Urban;17/04/2022;complet;dev_integral;289,01;47673-98
M;44;Non;Oui;[40k€+];Private;Van;yes;1;8.0;Highly Urban/ Urban;05/05/2022;complet;dev_integral;336,96;28270-99
M;21;Non;Non;[40k€+];Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;28/02/2022;complet;dev_integral;326,68;27712-100
M;68;Non;Oui;[0, 20k€];Commercial;Pickup;no;2;12.0;Highly Urban/ Urban;12/02/2022;complet;dev_integral;311,52;35906-101
F;25;Non;Oui;[40k€+];Private;Minivan;no;0;1.0;Highly Urban/ Urban;07/01/2022;complet;dev_integral;316,17;97719-102
M;54;Non;Non;[40k€+];Private;Minivan;no;6;11.0;Highly Urban/ Urban;07/01/2022;complet;dev_integral;302,17;34533-103
M;12;Non;Non;[40k€+];Commercial;Panel Truck;yes;4;17.0;Highly Urban/ Urban;12/01/2022;complet;dev_express;280,21;47866-104
M;63;Non;Non;[40k€+];Private;Minivan;yes;1;12.0;Highly Urban/ Urban;24/05/2022;complet;dev_premium;446,55;85264-105
M;26;Non;Oui;Inconnus;Commercial;Panel Truck;yes;0;14.0;Highly Urban/ Urban;25/03/2022;complet;dev_integral;296,83;94894-106
F;74;Oui;Oui;[0, 20k€];Private;Minivan;no;0;5.0;Highly Urban/ Urban;02/01/2022;complet;dev_integral;338,3;55149-107
M;42;Non;Oui;[40k€+];Commercial;Minivan;yes;1;12.0;z_Highly Rural/ Rural;01/03/2022;complet;dev_integral;318,54;97417-108
F;60;Non;Oui;[40k€+];Private;Minivan;yes;5;11.0;Highly Urban/ Urban;28/01/2022;complet;dev_express;268,71;44584-109
M;93;Non;Non;[0, 20k€];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;29/04/2022;complet;dev_premium;368,88;81766-110
M;55;Non;Non;[40k€+];Commercial;z_SUV;no;0;9.0;Highly Urban/ Urban;20/01/2022;complet;dev_integral;283,7;17205-111
M;57;Oui;Oui;[40k€+];Commercial;Minivan;no;0;12.0;Highly Urban/ Urban;06/05/2022;complet;dev_express;257,9;69976-112
M;71;Non;Oui;[0, 20k€];Private;z_SUV;no;0;8.0;Highly Urban/ Urban;14/03/2022;complet;dev_express;262,95;38213-113
F;67;Non;Oui;[40k€+];Commercial;Minivan;no;2;6.0;Highly Urban/ Urban;20/03/2022;complet;dev_express;284,02;38662-114
F;58;Non;Non;[40k€+];Private;z_SUV;no;0;14.0;Highly Urban/ Urban;18/01/2022;complet;dev_premium;348,22;96158-115
F;54;Oui;Oui;[20k€, 40k€];Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;23/01/2022;complet;dev_premium;483,26;90096-116
F;80;Oui;Oui;[40k€+];Private;Sports Car;no;0;11.0;z_Highly Rural/ Rural;07/01/2022;complet;dev_express;274,9;95524-117
F;64;Oui;Oui;[0, 20k€];Private;Pickup;no;0;7.0;Highly Urban/ Urban;02/01/2022;complet;dev_integral;306,52;88204-118
M;11;Oui;Oui;[40k€+];Commercial;Sports Car;no;2;1.0;Highly Urban/ Urban;23/05/2022;complet;dev_integral;339,12;41575-119
M;6;Non;Non;[40k€+];Private;Minivan;no;0;15.0;Highly Urban/ Urban;29/05/2022;complet;dev_integral;312,73;90917-120
M;72;Non;Non;[0, 20k€];Private;z_SUV;no;0;13.0;z_Highly Rural/ Rural;09/02/2022;complet;dev_integral;317,97;53079-121
M;59;Non;Oui;[40k€+];Private;Minivan;yes;2;11.0;Highly Urban/ Urban;17/02/2022;complet;dev_express;271,71;73026-122
M;72;Non;Non;[40k€+];Private;z_SUV;no;0;12.0;Highly Urban/ Urban;06/05/2022;complet;dev_integral;322,69;18418-123
F;51;Non;Non;[40k€+];Private;Pickup;yes;0;11.0;Highly Urban/ Urban;25/01/2022;complet;dev_integral;332,12;63877-124
F;31;Non;Oui;[20k€, 40k€];Private;Van;no;4;9.0;Highly Urban/ Urban;01/01/2022;complet;dev_integral;332,07;94682-125
M;35;Non;Non;[40k€+];Private;Minivan;no;0;8.0;Highly Urban/ Urban;02/04/2022;complet;dev_integral;292,8;48620-126
M;71;Non;Non;[40k€+];Private;Minivan;no;2;1.0;Highly Urban/ Urban;14/04/2022;complet;dev_integral;294,25;63462-127
M;19;Non;Non;[0, 20k€];Commercial;Minivan;yes;7;1.0;z_Highly Rural/ Rural;07/03/2022;complet;dev_express;269,87;25479-128
M;23;Non;Non;[40k€+];Commercial;Sports Car;no;1;;Highly Urban/ Urban;04/04/2022;complet;dev_premium;504,98;62646-129
M;61;Non;Non;[40k€+];Private;Minivan;no;1;13.0;Highly Urban/ Urban;20/04/2022;complet;dev_express;254,88;89166-130
F;72;Non;Oui;[0, 20k€];Private;Sports Car;no;0;13.0;Highly Urban/ Urban;25/02/2022;complet;dev_express;260,4;54617-131
F;73;Non;Oui;[20k€, 40k€];Private;Minivan;no;8;9.0;Highly Urban/ Urban;28/05/2022;complet;dev_vip;634,21;17321-132
M;11;Non;Oui;[0, 20k€];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;18/03/2022;complet;dev_express;254,78;95941-133
M;58;Non;Non;[20k€, 40k€];Private;Minivan;yes;3;5.0;Highly Urban/ Urban;25/02/2022;complet;dev_express;253,91;34316-134
F;7;Oui;Oui;[40k€+];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;08/04/2022;complet;dev_integral;282,62;97577-135
F;93;Non;Oui;[40k€+];Private;Minivan;no;0;16.0;Highly Urban/ Urban;01/05/2022;complet;dev_integral;305,95;52126-136
M;14;Non;Non;[40k€+];Commercial;Van;yes;2;15.0;Highly Urban/ Urban;27/03/2022;complet;dev_integral;339,55;88847-137
M;38;Oui;Oui;[40k€+];Commercial;Van;no;4;9.0;Highly Urban/ Urban;11/05/2022;complet;dev_express;269,57;21741-138
M;54;Non;Oui;[40k€+];Commercial;z_SUV;no;4;1.0;Highly Urban/ Urban;31/05/2022;complet;dev_express;276,1;35957-139
F;48;Non;Oui;Inconnus;Private;Sports Car;no;6;7.0;Highly Urban/ Urban;24/04/2022;complet;dev_premium;517,22;76691-140
M;53;Non;Non;[40k€+];Commercial;Sports Car;no;2;9.0;Highly Urban/ Urban;06/03/2022;complet;dev_integral;301,41;68679-141
F;54;Non;Non;[40k€+];Private;Minivan;no;0;9.0;Highly Urban/ Urban;18/02/2022;complet;dev_integral;295,29;46390-142
F;8;Non;Oui;[40k€+];Private;Pickup;yes;0;12.0;Highly Urban/ Urban;05/01/2022;complet;dev_integral;322,81;70514-143
M;84;Non;Non;[40k€+];Private;z_SUV;no;5;15.0;Highly Urban/ Urban;19/02/2022;complet;dev_premium;544,57;96315-144
M;89;Non;Oui;[0, 20k€];Commercial;z_SUV;no;7;;Highly Urban/ Urban;21/05/2022;complet;dev_express;273,72;56269-145
M;53;Non;Non;[20k€, 40k€];Private;z_SUV;no;2;11.0;Highly Urban/ Urban;13/05/2022;complet;dev_express;267,85;61984-146
M;64;Non;Non;[40k€+];Private;z_SUV;no;0;7.0;Highly Urban/ Urban;20/02/2022;complet;dev_integral;322,43;57096-147
M;43;Oui;Oui;[20k€, 40k€];Private;z_SUV;no;1;10.0;z_Highly Rural/ Rural;16/04/2022;complet;dev_integral;289,44;47727-148
F;74;Non;Non;[40k€+];Private;z_SUV;no;0;19.0;Highly Urban/ Urban;03/03/2022;complet;dev_integral;283,43;25680-149
F;78;Non;Non;[40k€+];Private;Minivan;no;0;15.0;z_Highly Rural/ Rural;26/02/2022;complet;dev_express;273,35;68113-150
M;79;Non;Non;[40k€+];Private;Minivan;no;0;10.0;Highly Urban/ Urban;19/02/2022;complet;dev_integral;337,72;76214-151
F;66;Non;Non;[40k€+];Private;z_SUV;no;2;5.0;Highly Urban/ Urban;05/03/2022;complet;dev_express;267,54;58883-152
F;63;Non;Oui;Inconnus;Private;Minivan;yes;3;1.0;Highly Urban/ Urban;11/01/2022;complet;dev_express;256,25;91597-153
M;33;Non;Non;[20k€, 40k€];Private;Minivan;no;1;4.0;Highly Urban/ Urban;25/03/2022;complet;dev_express;258,99;46140-154
F;77;Non;Oui;[20k€, 40k€];Commercial;Pickup;yes;0;9.0;z_Highly Rural/ Rural;22/02/2022;complet;dev_integral;299,81;82214-155
M;84;Oui;Oui;[40k€+];Commercial;Van;yes;0;12.0;Highly Urban/ Urban;14/01/2022;complet;dev_integral;308,1;94374-156
F;70;Non;Oui;[0, 20k€];Private;Sports Car;no;5;4.0;Highly Urban/ Urban;08/04/2022;complet;dev_express;253,44;89035-157
M;74;Non;Non;[40k€+];Private;Pickup;no;0;15.0;Highly Urban/ Urban;17/04/2022;complet;dev_integral;320,46;77986-158
M;86;Non;Non;[40k€+];Commercial;Minivan;yes;0;9.0;z_Highly Rural/ Rural;14/05/2022;complet;dev_integral;329,63;78289-159
M;67;Non;Non;[40k€+];Commercial;z_SUV;no;6;1.0;Highly Urban/ Urban;02/02/2022;complet;dev_integral;284,13;32163-160
M;71;Oui;Oui;[40k€+];Private;Sports Car;no;0;8.0;Highly Urban/ Urban;21/05/2022;complet;dev_integral;291,56;91359-161
M;34;Non;Non;[40k€+];Private;z_SUV;no;2;12.0;Highly Urban/ Urban;09/03/2022;complet;dev_premium;449,91;25056-162
F;50;Oui;Oui;[40k€+];Private;Minivan;no;1;12.0;z_Highly Rural/ Rural;27/02/2022;complet;dev_integral;336,05;58674-163
F;73;Non;Oui;[40k€+];Private;Minivan;no;0;14.0;Highly Urban/ Urban;03/04/2022;complet;dev_integral;314,85;93940-164
F;56;Non;Non;[0, 20k€];Private;Sports Car;no;1;8.0;z_Highly Rural/ Rural;02/04/2022;complet;dev_express;250,86;10139-165
F;53;Oui;Oui;[0, 20k€];Private;Minivan;no;1;1.0;Highly Urban/ Urban;08/04/2022;complet;dev_express;255,96;60954-166
F;93;Non;Oui;[40k€+];Private;Sports Car;no;0;17.0;Highly Urban/ Urban;31/05/2022;complet;dev_integral;299,88;53284-167
F;25;Non;Oui;[40k€+];Commercial;Pickup;yes;0;4.0;Highly Urban/ Urban;16/05/2022;complet;dev_integral;298,12;53696-168
F;58;Non;Non;[40k€+];Commercial;Panel Truck;no;1;;Highly Urban/ Urban;22/04/2022;complet;dev_integral;286,36;55892-169
F;75;Non;Non;[20k€, 40k€];Commercial;z_SUV;no;2;11.0;Highly Urban/ Urban;30/05/2022;complet;dev_integral;334,25;64535-170
M;41;Non;Oui;[40k€+];Private;Pickup;yes;1;11.0;Highly Urban/ Urban;01/02/2022;complet;dev_express;250,29;58837-171
F;31;Non;Non;[0, 20k€];Commercial;Minivan;no;2;1.0;Highly Urban/ Urban;31/05/2022;complet;dev_integral;339,87;93938-172
M;58;Non;Non;[40k€+];Commercial;Minivan;no;0;11.0;z_Highly Rural/ Rural;16/02/2022;complet;dev_integral;322,3;42354-173
F;52;Non;Oui;[40k€+];Private;Minivan;yes;0;20.0;Highly Urban/ Urban;21/05/2022;complet;dev_integral;329,61;41004-174
M;55;Non;Non;[0, 20k€];Private;z_SUV;no;2;1.0;Highly Urban/ Urban;26/04/2022;complet;dev_express;265,7;20880-175
M;78;Non;Non;[40k€+];Commercial;Pickup;no;6;;Highly Urban/ Urban;14/01/2022;complet;dev_integral;286,98;73455-176
F;60;Non;Non;[0, 20k€];Commercial;Van;no;0;12.0;Highly Urban/ Urban;16/02/2022;complet;dev_express;252,05;83740-177
M;32;Non;Non;Inconnus;Private;Sports Car;no;0;16.0;Highly Urban/ Urban;01/01/2022;complet;dev_express;261,98;36551-178
M;65;Non;Oui;[0, 20k€];Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;14/01/2022;complet;dev_integral;289,28;65211-179
F;57;Non;Oui;[40k€+];Commercial;Van;yes;0;6.0;Highly Urban/ Urban;10/05/2022;complet;dev_premium;539,36;32575-180
F;84;Non;Non;[40k€+];Commercial;Pickup;no;1;;Highly Urban/ Urban;02/05/2022;complet;dev_express;283,26;18083-181
F;27;Oui;Oui;[20k€, 40k€];Commercial;Van;no;1;6.0;z_Highly Rural/ Rural;10/02/2022;complet;dev_express;278,29;24086-182
M;55;Non;Non;[40k€+];Commercial;Panel Truck;yes;0;13.0;z_Highly Rural/ Rural;08/01/2022;complet;dev_integral;305,83;85994-183
F;87;Non;Non;[40k€+];Private;Van;yes;0;10.0;Highly Urban/ Urban;12/01/2022;complet;dev_premium;335,11;13627-184
F;70;Non;Non;[0, 20k€];Private;Pickup;yes;1;1.0;Highly Urban/ Urban;27/05/2022;complet;dev_express;279,89;15548-185
M;25;Oui;Oui;[40k€+];Commercial;z_SUV;no;6;5.0;Highly Urban/ Urban;10/04/2022;complet;dev_premium;444,44;12537-186
F;68;Non;Non;[20k€, 40k€];Private;z_SUV;no;0;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_integral;336,38;64089-187
F;22;Non;Oui;[0, 20k€];Private;z_SUV;no;0;9.0;Highly Urban/ Urban;24/05/2022;complet;dev_integral;326,44;39897-188
F;72;Non;Non;[0, 20k€];Private;z_SUV;no;0;1.0;Highly Urban/ Urban;05/01/2022;complet;dev_premium;474,58;84261-189
F;13;Non;Non;[40k€+];Private;Minivan;no;0;11.0;Highly Urban/ Urban;17/05/2022;complet;dev_vip;554,77;68252-190
M;50;Non;Non;[40k€+];Commercial;Van;yes;5;;Highly Urban/ Urban;30/05/2022;complet;dev_express;252,03;42695-191
M;8;Non;Non;[20k€, 40k€];Private;Sports Car;no;3;1.0;Highly Urban/ Urban;25/01/2022;complet;dev_premium;490,84;12828-192
